Petallength,Petalwidth,label
1.3,0.2,-1.0
1.6,0.4,-1.0
1.4,0.2,-1.0
1.4,0.2,-1.0
4.8,1.8,1.0
5.8,1.8,1.0
1.6,0.2,-1.0
5.6,2.2,1.0
5.8,2.2,1.0
5.4,2.1,1.0
1.5,0.1,-1.0
5.1,2.0,1.0
5.1,2.3,1.0
1.7,0.3,-1.0
1.3,0.3,-1.0
1.4,0.2,-1.0
6.7,2.2,1.0
1.5,0.2,-1.0
1.6,0.6,-1.0
1.5,0.4,-1.0
5.6,2.4,1.0
5.5,1.8,1.0
1.4,0.3,-1.0
1.3,0.4,-1.0
1.9,0.2,-1.0
5.6,1.8,1.0
1.5,0.4,-1.0
5.6,2.4,1.0
5.0,1.9,1.0
1.5,0.2,-1.0
6.1,1.9,1.0
6.1,2.5,1.0
5.5,2.1,1.0
1.4,0.2,-1.0
4.8,1.8,1.0
5.0,1.5,1.0
1.3,0.3,-1.0
1.5,0.2,-1.0
5.2,2.3,1.0
5.1,1.9,1.0
1.6,0.2,-1.0
5.4,2.3,1.0
5.3,1.9,1.0
5.7,2.3,1.0
5.1,1.5,1.0
5.7,2.1,1.0
6.7,2.0,1.0
5.6,1.4,1.0
5.3,2.3,1.0
5.8,1.6,1.0
5.1,1.8,1.0
1.4,0.2,-1.0
1.6,0.2,-1.0
1.7,0.5,-1.0
1.4,0.1,-1.0
1.1,0.1,-1.0
1.5,0.4,-1.0
4.9,1.8,1.0
6.1,2.3,1.0
1.7,0.2,-1.0
1.6,0.2,-1.0
5.1,1.9,1.0
6.6,2.1,1.0
1.5,0.2,-1.0
5.7,2.5,1.0
1.4,0.3,-1.0
1.5,0.2,-1.0
5.1,2.4,1.0
1.9,0.4,-1.0
6.4,2.0,1.0
6.9,2.3,1.0
6.0,2.5,1.0
1.2,0.2,-1.0
5.6,2.1,1.0
1.5,0.2,-1.0
